Index;Sender;Receiver;Unit;Converter;NameDE;NameEN;MqttTopic;DescriptionDE;DescriptionEN;Default;MinValue;MaxValue;ValuesDE;ValuesEN;ReadOnly
1442;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Donnerstag Zeitspanne 3;Heating Program Heating Circuit 1 Thursday Time Period 3;/program/heating/hc1/thu/p3;;;---;;;;;
1450;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Freitag Zeitspanne 1;Heating Program Heating Circuit 1 Friday Time Period 1;/program/heating/hc1/fri/p1;;;00:00-24:00;;;;;
1451;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Freitag Zeitspanne 2;Heating Program Heating Circuit 1 Friday Time Period 2;/program/heating/hc1/fri/p2;;;---;;;;;
1452;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Freitag Zeitspanne 3;Heating Program Heating Circuit 1 Friday Time Period 3;/program/heating/hc1/fri/p3;;;---;;;;;
1460;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Samstag Zeitspanne 1;Heating Program Heating Circuit 1 Saturday Time Period 1;/program/heating/hc1/sat/p1;;;00:00-24:00;;;;;
1461;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Samstag Zeitspanne 2;Heating Program Heating Circuit 1 Saturday Time Period 2;/program/heating/hc1/sat/p2;;;---;;;;;
1462;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Samstag Zeitspanne 3;Heating Program Heating Circuit 1 Saturday Time Period 3;/program/heating/hc1/sat/p3;;;---;;;;;
1470;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Sonntag Zeitspanne 1;Heating Program Heating Circuit 1 Sunday Time Period 1;/program/heating/hc1/sun/p1;;;00:00-24:00;;;;;
1471;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Sonntag Zeitspanne 2;Heating Program Heating Circuit 1 Sunday Time Period 2;/program/heating/hc1/sun/p2;;;---;;;;;
1472;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Sonntag Zeitspanne 3;Heating Program Heating Circuit 1 Sunday Time Period 3;/program/heating/hc1/sun/p3;;;---;;;;;
1480;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Mo-Fr Zeitspanne 1;Heating Program Heating Circuit 1 MON-FRI Time Period 1;/program/heating/hc1/weekdays/p1;;;00:00-24:00;;;;;
1481;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Mo-Fr Zeitspanne 2;Heating Program Heating Circuit 1 MON-FRI Time Period 2;/program/heating/hc1/weekdays/p2;;;---;;;;;
1482;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Mo-Fr Zeitspanne 3;Heating Program Heating Circuit 1 MON-FRI Time Period 3;/program/heating/hc1/weekdays/p3;;;---;;;;;
1490;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Sa-So Zeitspanne 1;Heating Program Heating Circuit 1 SAT-SUN Time Period 1;/program/heating/hc1/weekend/p1;;;00:00-24:00;;;;;
1491;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Sa-So Zeitspanne 2;Heating Program Heating Circuit 1 SAT-SUN Time Period 2;/program/heating/hc1/weekend/p2;;;---;;;;;
1492;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Sa-So Zeitspanne 3;Heating Program Heating Circuit 1 SAT-SUN Time Period 3;/program/heating/hc1/weekend/p3;;;---;;;;;
14A0;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Mo-So Zeitspanne 1;Heating Program Heating Circuit 1 MON-SUN Time Period 1;/program/heating/hc1/all/p1;;;00:00-24:00;;;;;
14A1;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Mo-So Zeitspanne 2;Heating Program Heating Circuit 1 MON-SUN Time Period 2;/program/heating/hc1/all/p2;;;---;;;;;
14A2;301;6A0;;TimeRange;Heizprogramm Heizkreis 1 Mo-So Zeitspanne 3;Heating Program Heating Circuit 1 MON-SUN Time Period 3;/program/heating/hc1/all/p3;;;---;;;;;
1410;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Montag Zeitspanne 1;Heating Program Heating Circuit 2 Monday Time Period 1;/program/heating/hc2/mon/p1;;;00:00-24:00;;;;;
1411;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Montag Zeitspanne 2;Heating Program Heating Circuit 2 Monday Time Period 2;/program/heating/hc2/mon/p2;;;---;;;;;
1412;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Montag Zeitspanne 3;Heating Program Heating Circuit 2 Monday Time Period 3;/program/heating/hc2/mon/p3;;;---;;;;;
1420;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Dienstag Zeitspanne 1;Heating Program Heating Circuit 2 Tuesday Time Period 1;/program/heating/hc2/tue/p1;;;00:00-24:00;;;;;
1421;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Dienstag Zeitspanne 2;Heating Program Heating Circuit 2 Tuesday Time Period 2;/program/heating/hc2/tue/p2;;;---;;;;;
1422;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Dienstag Zeitspanne 3;Heating Program Heating Circuit 2 Tuesday Time Period 3;/program/heating/hc2/tue/p3;;;---;;;;;
1430;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Mittwoch Zeitspanne 1;Heating Program Heating Circuit 2 Wednesday Time Period 1;/program/heating/hc2/wed/p1;;;00:00-24:00;;;;;
1431;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Mittwoch Zeitspanne 2;Heating Program Heating Circuit 2 Wednesday Time Period 2;/program/heating/hc2/wed/p2;;;---;;;;;
