elster-kromschroeder can-bus address scanner and test utility
copyright (c) 2014 Jürg Müller, CH-5524

  { 0x180, 0x058e, 0x003c},  // ABSCHALTUNG_VERDICHTER_WW: 60
  { 0x180, 0x058f, 0x0032},  // VERZOEGERUNG_VERDICHTER_WW: 50
  { 0x180, 0x0596, 0x00aa},  // PARTY_ENDE_JAHR: 170
  { 0x180, 0x0597, 0x0027},  // ZULUFT_SOLL: 39
  { 0x180, 0x0598, 0x00aa},  // ZULUFT_IST: 170
  { 0x180, 0x0599, 0x001c},  // ABLUFT_SOLL: 28
  { 0x180, 0x059a, 0x0000},  // ABLUFT_IST: 0
  { 0x180, 0x059b, 0x0000},  // FORTLUFT_SOLL: 0
  { 0x180, 0x059c, 0x00f0},  // FORTLUFT_IST: 240
  { 0x180, 0x059f, 0x0003},  // FUSSPUNKT_HEIZKURVE: 3
  { 0x180, 0x05a0, 0x0014},  // NHZ_ANZAHL_STUFEN: 20
  { 0x180, 0x05a1, 0x0125},  // NHZ_VERZOEGERUNG: 293
  { 0x180, 0x05a2, 0x0028},  // NHZ_LEISTUNG1: 40
  { 0x180, 0x05a3, 0x0000},  // HEIZGRENZE_HYST: 0
  { 0x180, 0x05a4, 0x06b3},  // AUSSENTEMP_KORREKTUR: 1715
  { 0x180, 0x05a5, 0x0000},  // LAUFZEIT_VERDICHTER_HEIZEN: 0
  { 0x180, 0x05a6, 0x0081},  // LAUFZEIT_VERDICHTER_KUEHLEN: 129
  { 0x180, 0x05a7, 0x0000},  // LAUFZEIT_VERDICHTER_WW: 0
  { 0x180, 0x05a8, 0x037f},  // LAUFZEIT_NHZ_WW: 895
  { 0x180, 0x05a9, 0x0001},  // LAUFZEIT_NHZ_HEIZEN: 1
  { 0x180, 0x05aa, 0x0000},  // MANUELL_VERDICHTER: 0
  { 0x180, 0x05ab, 0x0001},  // MANUELL_NHZ_STUFE: 1
  { 0x180, 0x05ac, 0x0001},  // MANUELL_DREHZAHL_ABLUEFTER: 1
  { 0x180, 0x05ad, 0x0001},  // MANUELL_DREHZAHL_ZULUEFTER: 1
  { 0x180, 0x05ae, 0x0000},  // MANUELL_LUEFT_PARTY: 0
  { 0x180, 0x05af, 0x0000},  // MANUELL_LUEFT_NACHT: 0
  { 0x180, 0x05b0, 0x0000},  // MANUELL_FENSTERKONTAKT: 0
  { 0x180, 0x05b1, 0x0000},  // MANUELL_HEAT_PIPE_VENTIL: 0
  { 0x180, 0x05b2, 0x012c},  // MANUELL_UMSCHALTVENTIL: 300
  { 0x180, 0x05b3, 0x0096},  // ABTAUENDE_TEMP: 150
  { 0x180, 0x05b4, 0x0064},  // NHZ_FROSTSCHUTZ: 100
  { 0x180, 0x05b5, 0x0014},  // ABTAU_FROSTSCHUTZ: 20
  { 0x180, 0x05b6, 0x003c},  // VERDICHTER_EINSCHALT_VERZ: 60
  { 0x180, 0x05b7, 0x0064},  // FORTLUFT_LUEFTER_DREHZAHL: 100
  { 0x180, 0x05b8, 0x0001},  // PUMPENZYKLEN_MAX: 1
  { 0x180, 0x05b9, 0x0000},  // PUMPENZYKLEN_MIN: 0
  { 0x180, 0x05ba, 0x00c8},  // PUMPENZYKLEN_MAX_AUSSENT: 200
  { 0x180, 0x05bb, 0x0001},  // PUMPENZYKLEN_MIN_AUSSENT: 1
  { 0x180, 0x05bc, 0x0000},  // AKTIVE_HEIZSTUFEN: 0
  { 0x180, 0x05be, 0x0258},  // RAUMTEMP_ERFASSUNG: 600
  { 0x180, 0x05bf, 0x01f4},  // SOLAR_EINSTELLSPEICHERSOLLT: 500
  { 0x180, 0x05c0, 0x0028},  // EINSTELLSPEICHER_NACHT: 40
  { 0x180, 0x05c1, 0x001e},  // HYST_HEIZSTUFE1: 30
  { 0x180, 0x05c2, 0x001e},  // HYST_HEIZSTUFE2: 30
  { 0x180, 0x05c3, 0x0014},  // HYST_HEIZSTUFE3: 20
  { 0x180, 0x05c4, 0x0014},  // HYST_HEIZSTUFE4: 20
  { 0x180, 0x05c5, 0x0002},  // HYST_HEIZSTUFE5: 2
