109,'2019-12-14',53964621,769,78,210,33,250,0,17,0,190,NULL
110,'2019-12-14',53964629,384,78,210,33,250,0,14,1,255,NULL
111,'2019-12-14',53974601,1697,78,49,0,250,0,12,0,0,NULL
112,'2019-12-14',53974607,1697,78,97,1,250,0,17,0,0,NULL
113,'2019-12-14',53974613,1697,30,49,0,250,0,14,0,0,NULL
114,'2019-12-14',53974621,769,30,210,33,250,0,17,0,190,NULL
115,'2019-12-14',53974627,384,30,210,33,250,0,14,1,255,NULL
116,'2019-12-14',53974633,384,30,210,33,250,0,12,0,72,NULL
117,'2019-12-14',53975693,384,30,208,60,250,1,34,14,0,NULL
118,'2019-12-14',53975708,384,30,208,60,250,1,35,12,0,NULL
119,'2019-12-14',53975726,384,30,208,60,250,1,36,19,0,NULL
120,'2019-12-14',53975744,384,30,208,60,250,1,37,15,0,NULL
121,'2019-12-14',53975761,384,30,208,60,250,1,38,59,0,NULL
122,'2019-12-14',53975779,384,30,208,60,250,0,1,0,0,NULL
123,'2019-12-14',53975794,384,30,208,60,250,1,118,6,7,NULL
124,'2019-12-14',53975810,384,30,208,60,250,1,18,11,0,NULL
125,'2019-12-14',53975827,384,30,208,60,250,1,33,5,0,NULL
126,'2019-12-14',53985601,1697,30,49,0,250,0,12,0,0,NULL
127,'2019-12-14',53985607,1697,30,97,1,250,0,17,0,0,NULL
128,'2019-12-14',53985612,384,30,210,33,250,0,12,0,71,NULL
129,'2019-12-14',53985617,1697,30,49,0,250,0,14,0,0,NULL
130,'2019-12-14',53985624,769,30,210,33,250,0,17,0,190,NULL
131,'2019-12-14',53985630,384,30,210,33,250,0,14,1,255,NULL
132,'2019-12-14',53987921,1697,30,49,0,250,1,154,0,0,NULL
133,'2019-12-14',53987930,384,30,210,33,250,1,154,2,247,NULL
134,'2019-12-14',53995608,1697,30,49,0,250,0,12,0,0,NULL
135,'2019-12-14',53995613,1697,30,97,1,250,0,17,0,0,NULL
136,'2019-12-14',53995620,1697,30,49,0,250,0,14,0,0,NULL
137,'2019-12-14',53995625,384,30,210,33,250,0,12,0,73,NULL
138,'2019-12-14',53995630,769,30,210,33,250,0,17,0,190,NULL
139,'2019-12-14',53995636,384,30,210,33,250,0,14,1,255,NULL
140,'2019-12-14',54006607,1697,30,49,0,250,0,12,0,0,NULL
141,'2019-12-14',54006614,1697,30,97,1,250,0,17,0,0,NULL
142,'2019-12-14',54006619,1697,30,49,0,250,0,14,0,0,NULL
143,'2019-12-14',54006624,384,30,210,33,250,0,12,0,72,NULL
144,'2019-12-14',54006630,769,30,210,33,250,0,17,0,190,NULL
145,'2019-12-14',54006638,384,30,210,33,250,0,14,1,254,NULL
146,'2019-12-14',54015615,1697,30,49,0,250,0,12,0,0,NULL
147,'2019-12-14',54015620,1697,30,97,1,250,0,17,0,0,NULL
148,'2019-12-14',54015626,1697,30,49,0,250,0,14,0,0,NULL
149,'2019-12-14',54015633,384,30,210,33,250,0,12,0,72,NULL
150,'2019-12-14',54015640,769,30,210,33,250,0,17,0,190,NULL
151,'2019-12-14',54015645,384,30,210,33,250,0,14,1,255,NULL
152,'2019-12-14',54019299,384,30,208,60,250,1,37,16,0,NULL
153,'2019-12-14',54019318,384,30,208,60,250,1,38,0,0,NULL
154,'2019-12-14',54026619,1697,78,49,0,250,0,12,0,0,NULL
155,'2019-12-14',54026624,1697,78,97,1,250,0,17,0,0,NULL
156,'2019-12-14',54026629,1697,78,49,0,250,0,14,0,0,NULL
157,'2019-12-14',54026639,384,78,210,33,250,0,12,0,72,NULL
158,'2019-12-14',54026644,769,78,210,33,250,0,17,0,190,NULL
159,'2019-12-14',54026649,384,78,210,33,250,0,14,1,255,NULL
160,'2019-12-14',54035726,384,78,208,60,250,0,1,0,0,NULL
161,'2019-12-14',54035742,384,78,208,60,250,1,118,6,7,NULL
162,'2019-12-14',54035759,384,78,208,60,250,1,18,11,0,NULL
163,'2019-12-14',54035776,384,78,208,60,250,1,33,5,0,NULL
164,'2019-12-14',54035793,384,78,208,60,250,1,34,14,0,NULL
165,'2019-12-14',54035812,384,78,208,60,250,1,35,12,0,NULL
166,'2019-12-14',54035829,384,78,208,60,250,1,36,19,0,NULL
167,'2019-12-14',54035842,384,78,208,60,250,1,37,16,0,NULL
168,'2019-12-14',54035859,384,78,208,60,250,1,38,0,0,NULL
169,'2019-12-14',54036621,1697,78,49,0,250,0,12,0,0,NULL
170,'2019-12-14',54036627,1697,78,97,1,250,0,17,0,0,NULL
171,'2019-12-14',54036633,384,78,210,33,250,0,12,0,72,NULL
172,'2019-12-14',54036638,1697,78,49,0,250,0,14,0,0,NULL
173,'2019-12-14',54036645,769,78,210,33,250,0,17,0,190,NULL
174,'2019-12-14',54036650,384,78,210,33,250,0,14,1,255,NULL
175,'2019-12-14',54046624,1697,46,49,0,250,0,12,0,0,NULL
176,'2019-12-14',54046630,1697,46,97,1,250,0,17,0,0,NULL
177,'2019-12-14',54046636,1697,46,49,0,250,0,14,0,0,NULL
178,'2019-12-14',54046642,384,46,210,33,250,0,12,0,73,NULL
179,'2019-12-14',54046647,769,46,210,33,250,0,17,0,190,NULL
180,'2019-12-14',54046652,384,46,210,33,250,0,14,1,255,NULL
181,'2019-12-14',54057624,1697,78,49,0,250,0,12,0,0,NULL
182,'2019-12-14',54057629,1697,78,97,1,250,0,17,0,0,NULL
183,'2019-12-14',54057635,1697,78,49,0,250,0,14,0,0,NULL
184,'2019-12-14',54057643,384,78,210,33,250,0,12,0,72,NULL
185,'2019-12-14',54057648,769,78,210,33,250,0,17,0,190,NULL
186,'2019-12-14',54057653,384,78,210,33,250,0,14,1,255,NULL
187,'2019-12-14',54066631,1697,78,49,0,250,0,12,0,0,NULL
188,'2019-12-14',54066636,1697,78,97,1,250,0,17,0,0,NULL
189,'2019-12-14',54066642,1697,78,49,0,250,0,14,0,0,NULL
190,'2019-12-14',54066650,384,78,210,33,250,0,12,0,72,NULL
191,'2019-12-14',54066655,769,78,210,33,250,0,17,0,190,NULL
192,'2019-12-14',54066661,384,78,210,33,250,0,14,1,255,NULL
193,'2019-12-14',54076634,1697,78,49,0,250,0,12,0,0,NULL
194,'2019-12-14',54076640,1697,78,97,1,250,0,17,0,0,NULL
195,'2019-12-14',54076645,1697,78,49,0,250,0,14,0,0,NULL
196,'2019-12-14',54076653,384,78,210,33,250,0,12,0,72,NULL
197,'2019-12-14',54076658,769,78,210,33,250,0,17,0,190,NULL
198,'2019-12-14',54076663,384,78,210,33,250,0,14,1,255,NULL
199,'2019-12-14',54078320,384,78,208,60,250,1,38,1,0,NULL
200,'2019-12-14',54086637,1697,198,49,0,250,0,12,0,0,NULL
201,'2019-12-14',54086642,1697,46,97,1,250,0,17,0,0,NULL
202,'2019-12-14',54086648,1697,78,49,0,250,0,14,0,0,NULL
203,'2019-12-14',54086653,384,78,210,33,250,0,12,0,72,NULL
204,'2019-12-14',54086660,769,78,210,33,250,0,17,0,190,NULL
205,'2019-12-14',54086667,384,30,210,33,250,0,14,1,255,NULL
206,'2019-12-14',54095744,384,30,208,60,250,1,36,19,0,NULL
207,'2019-12-14',54095760,384,30,208,60,250,1,37,16,0,NULL
208,'2019-12-14',54095777,384,30,208,60,250,1,38,1,0,NULL
209,'2019-12-14',54095796,384,30,208,60,250,0,1,0,0,NULL
210,'2019-12-14',54095812,384,30,208,60,250,1,118,6,7,NULL
211,'2019-12-14',54095828,384,30,208,60,250,1,18,11,0,NULL
212,'2019-12-14',54095844,384,30,208,60,250,1,33,5,0,NULL
213,'2019-12-14',54095861,384,30,208,60,250,1,34,14,0,NULL
214,'2019-12-14',54095878,384,30,208,60,250,1,35,12,0,NULL
215,'2019-12-14',54096640,1697,30,49,0,250,0,12,0,0,NULL
216,'2019-12-14',54096645,1697,0,97,1,250,0,17,0,0,NULL
217,'2019-12-14',54096651,384,30,210,33,250,0,12,0,71,NULL
218,'2019-12-14',54096657,1697,30,49,0,250,0,14,0,0,NULL
219,'2019-12-14',54096665,769,30,210,33,250,0,17,0,190,NULL
220,'2019-12-14',54096670,384,0,210,33,250,0,14,1,255,NULL
221,'2019-12-14',54107643,1697,30,49,0,250,0,12,0,0,NULL
222,'2019-12-14',54107649,1697,30,97,1,250,0,17,0,0,NULL
223,'2019-12-14',54107654,1697,30,49,0,250,0,14,0,0,NULL
224,'2019-12-14',54107662,384,30,210,33,250,0,12,0,71,NULL
225,'2019-12-14',54107667,769,30,210,33,250,0,17,0,190,NULL
