./can_scan slcan0 6A1 301
  
  
  { 0x301, 0x1732, 0x8080},  // W_WASSERPROG_1_MI_SCHALT_3: not used time domain
  { 0x301, 0x1740, 0x0060},  // W_WASSERPROG_1_DO: 00:00-24:00
  { 0x301, 0x1741, 0x8080},  // W_WASSERPROG_1_DO_SCHALT_2: not used time domain
  { 0x301, 0x1742, 0x8080},  // W_WASSERPROG_1_DO_SCHALT_3: not used time domain
  { 0x301, 0x1750, 0x0060},  // W_WASSERPROG_1_FR: 00:00-24:00
  { 0x301, 0x1751, 0x8080},  // W_WASSERPROG_1_FR_SCHALT_2: not used time domain
  { 0x301, 0x1752, 0x8080},  // W_WASSERPROG_1_FR_SCHALT_3: not used time domain
  { 0x301, 0x1760, 0x0060},  // W_WASSERPROG_1_SA: 00:00-24:00
  { 0x301, 0x1761, 0x8080},  // W_WASSERPROG_1_SA_SCHALT_2: not used time domain
  { 0x301, 0x1762, 0x8080},  // W_WASSERPROG_1_SA_SCHALT_3: not used time domain
  { 0x301, 0x1770, 0x0060},  // W_WASSERPROG_1_SO: 00:00-24:00
  { 0x301, 0x1771, 0x8080},  // W_WASSERPROG_1_SO_SCHALT_2: not used time domain
  { 0x301, 0x1772, 0x8080},  // W_WASSERPROG_1_SO_SCHALT_3: not used time domain
  { 0x301, 0x1780, 0x0060},  // W_WASSERPROG_1_MO_FR: 96
  { 0x301, 0x1781, 0x8080},  // W_WASSERPROG_1_MO_FR_SCHALT_2: -32640
  { 0x301, 0x1782, 0x8080},  // W_WASSERPROG_1_MO_FR_SCHALT_3: -32640
  { 0x301, 0x1790, 0x0060},  // W_WASSERPROG_1_SA_SO: 96
  { 0x301, 0x1791, 0x8080},  // W_WASSERPROG_1_SA_SO_SCHALT_2: -32640
  { 0x301, 0x1792, 0x8080},  // W_WASSERPROG_1_SA_SO_SCHALT_3: -32640
  { 0x301, 0x17a0, 0x0060},  // W_WASSERPROG_1_MO_SO: 96
  { 0x301, 0x17a1, 0x8080},  // W_WASSERPROG_1_MO_SO_SCHALT_2: -32640
  { 0x301, 0x17a2, 0x8080},  // W_WASSERPROG_1_MO_SO_SCHALT_3: -32640
  { 0x301, 0x1810, 0x0060},  // W_WASSERPROG_2_MO: 00:00-24:00
  { 0x301, 0x1811, 0x8080},  // W_WASSERPROG_2_MO_SCHALT_2: not used time domain
  { 0x301, 0x1812, 0x8080},  // W_WASSERPROG_2_MO_SCHALT_3: not used time domain
  { 0x301, 0x1820, 0x0060},  // W_WASSERPROG_2_DI: 00:00-24:00
  { 0x301, 0x1821, 0x8080},  // W_WASSERPROG_2_DI_SCHALT_2: not used time domain
  { 0x301, 0x1822, 0x8080},  // W_WASSERPROG_2_DI_SCHALT_3: not used time domain
  { 0x301, 0x1830, 0x0060},  // W_WASSERPROG_2_MI: 00:00-24:00
  { 0x301, 0x1831, 0x8080},  // W_WASSERPROG_2_MI_SCHALT_2: not used time domain
  { 0x301, 0x1832, 0x8080},  // W_WASSERPROG_2_MI_SCHALT_3: not used time domain
  { 0x301, 0x1840, 0x0060},  // W_WASSERPROG_2_DO: 00:00-24:00
  { 0x301, 0x1841, 0x8080},  // W_WASSERPROG_2_DO_SCHALT_2: not used time domain
  { 0x301, 0x1842, 0x8080},  // W_WASSERPROG_2_DO_SCHALT_3: not used time domain
  { 0x301, 0x1850, 0x0060},  // W_WASSERPROG_2_FR: 00:00-24:00
  { 0x301, 0x1851, 0x8080},  // W_WASSERPROG_2_FR_SCHALT_2: not used time domain
  { 0x301, 0x1852, 0x8080},  // W_WASSERPROG_2_FR_SCHALT_3: not used time domain
  { 0x301, 0x1860, 0x0060},  // W_WASSERPROG_2_SA: 00:00-24:00
  { 0x301, 0x1861, 0x8080},  // W_WASSERPROG_2_SA_SCHALT_2: not used time domain
  { 0x301, 0x1862, 0x8080},  // W_WASSERPROG_2_SA_SCHALT_3: not used time domain
  { 0x301, 0x1870, 0x0060},  // W_WASSERPROG_2_SO: 00:00-24:00
